AIRLINE_CODE,NAME,CARRIER_CATEGORY,CARRIER_IATA_CODE,CARRIER_ICAO_CODE,LOGO,CLASSIFICATION
0B,Blue Air,I,0B,JOR,,3
0K,Aircompany Kokshetau,I,0K,KRT,,4
0P,Palau Asia Pacific Air,A,0P,PPC,,4
0V,Vietnam Air Service,I,0V,VFC,,4
1B,British Airways Cargo,C,1B,,1B.gif,4
1F,Forward Air,C,1F,,,4
1G,Eva Airways Cargo,C,1G,,1G.gif,4
1H,Asiana Airways Cargo,C,1H,,,4
1I,Netjets Aviation,C,1I,EJA,1I.gif,4
1J,JAL Cargo,C,1J,,1J.gif,4
1K,Korean Air Cargo,C,1K,,1K.gif,4
1L,Dragonair Cargo,C,1L,,1L.gif,4
1M,China Airlines Cargo,C,1M,,1M.gif,4
1N,ANA Cargo,C,1N,,,4
1X,Branson Air,A,1X,,,4
2A,Deutsche Bahn,A,2A,2BB,,4
2B,Aerocondor,I,2B,ARD,,3
2D,Dubronovik Airlines,I,2D,DBK,,3
2E,Smokey Bay Air,A,2E,,,3
2F,Frontier Flying Service,I,2F,FTA,,2
2G,CargoItalia,C,2G,CRG,,3
2H*,Thalys,K,2H,,,4
2I,Star Peru,I,2I,SRU,,4
2J,Air Burkina,A,2J,VBW,2J.gif,3
2K,AeroGal,I,2K,GLG,,3
2L,Helvetic Airways,A,2L,OAW,2L.gif,3
2M,Moldavian Airlines,I,2M,MDV,2M.gif,3
2N,Yuzmashavia,A,2N,UMK,,4
2O,Island Air Service,I,2O,RNE,,4
2P,Air Philippines,I,2P,GAP,2P.gif,3
2Q,Avitrans Nordic AB,B,2Q,ETS,,3
2R,VIA Rail Canada Inc,K,2R,,,4
2S,Satgur Air Transport,A,2S,,,3
2T,Alajnihah Air Transport ,C,2T,ANH,,4
2U,Sun d'Or,A,2U,ERO,,4
2V,Amtrak,K,2V,,,4
2W,Welcome Air,A,2W,WLC,2W.gif,3
2Z,Voronezh Aircraft,A,2Z,,,4
3A,Alliance Airlines,C,3A,AFJ,,3
3AC,Chu Kong Passenger Transport,K,3A,,,4
3B,Job Air,I,3B,JBR,,4
3C,RegionsAir,I,3C,CEA,,4
3D,Denim Air,A,3D,DNM,3D.gif,3
3E,Air Choice One,A,3E,,,3
3F,Pacific Airways,I,3F,,,3
3H,Air Inuit,I,3H,AIE,3H.gif,2
3K,Jetstar Asia,I,3K,JSA,,3
3L,InterSky,I,3L,ISK,3L.gif,3
3M,Gulfstream International,I,3M,GFT,,3
3N,Air Urga,I,3N,URG,,4
3O,Air Arabia Maroc,I,3O,MAC,,4
3P,Tiara Air,I,3P,TIA,,4
3Q,China Yunnan Airlines,I,3Q,CYH,3Q.gif,4
3R,Gromov Air,I,3R,GAI,,4
3S,Air Antilles,A,3S,GUY,,4
3T,Turan Air,I,3T,URN,,3
3U,Sichuan Airlines,I,3U,CSC,3U.gif,3
3V,TNT Airways,I,3V,TAY,3V.gif,4
3X,Japan Air Commuter,A,3X,JAC,3X.gif,3
3X*,Premier Trans Aire,C,3X,,,4
3Y,Kartika Airlines,A,3Y,KAE,,4
3Z,Everts Air,I,3Z,VTS,3Z.gif,3
4A*,Air Kiribati,A,4A,AKL,,4
4B,Aviastar-TU,I,4B,TUP,,4
4C,Aires,A,4C,ARE,4C.gif,3
4C*,Click Airways,C,4C,CGK,,4
4D,Air Sinai,I,4D,ASD,,3
4E,Tanana Air Service,A,4E,TNR,,3
4G,Gazpromavia Aviation,I,4G,,4G.gif,3
4H,United Airways Bangladesh,A,4H,UBD,,3
4I,IZAir,I,4I,IZM,,3
4J,Nationwide Airlines (Zambia),A,4J,NTW,,4
4K,Kenn Borek Air,A,4K,KBA,,3
4L,Georgian International Airlines,I,4L,GNN,,4
4M,Lan Argentina,I,4M,DSM,,3
4N,Air North,I,4N,ANT,4N.gif,3
4O,Interjet,I,4O,AIJ,,3
4P,Viking Airlines,A,4P,VIK,,4
4Q,Safi Airways,I,4Q,SFW,,4
