AAB,Abelag Aviation
AAF,Aigle Azur
AAG,Air Atlantique
AAH,Aloha Air Cargo
AAI,Air Aurora
AAL,American Airlines
AAQ,Asia Atlantic Airlines
AAR,Asiana Airlines
AAW,Afriqiyah Airways
AAY,Allegiant Air
AAZ,Aeolus Air
ABD,Air Atlanta Icelandic
ABG,Royal Flight Airlines
ABL,Air Busan
ABQ,Airblue
ABR,Air Contractors
ABS,Transwest Air
ABV,Antrak Air
ABW,AirBridgeCargo
ABX,ABX Air
ABY,Air Arabia
ACA,Air Canada
ACI,Aircalin
ACP,Astral Aviation
ACS,ASSL
ACT,Flight Line
ACX,ACG
ADB,Antonov Airlines
ADH,Air One
ADN,Aero Dienst
ADO,Air Do
ADR,Adria Airways
AEA,Air Europa
AEE,Aegean Airlines
AEK,Aerocon
AEP,AEROTEC
AER,ACE Air Cargo
AEW,Aerosvit Airlines
AEY,Air Italy
AFG,Ariana Afghan Airlines
AFL,Aeroflot
AFR,Air France
AFU,Afrinat International
AFW,Africa World Airlines
AGO,Angola Air Charter
AGU,Angara Airlines
AGV,Air Glaciers
AGY,Air Go Egypt
AHC,AZAL Avia Cargo
AHK,AHK
AHY,AZAL Azerbaijan Airlines
AIA,Avies
AIB,Airbus Industrie
AIC,Air India
AIE,Air Inuit
AIJ,Interjet
AIP,Alpine Air Express
AIQ,Thai AirAsia
AIZ,Arkia Israeli Airlines
AJA,AnadoluJet
AJD,Vista Georgia
AJI,Ameristar Jet Charter
AJK,Allied Air
AJM,Air Jamaica
AJT,Amerijet International
AJX,Air Japan
AKK,Aklak Air
AKL,Air Kiribati
AKX,ANA Wings
ALC,American Linehaul Corporation
ALD,Air Leisure
ALK,SriLankan Airlines
ALV,Aeropostal
ALW,ALS
AMC,Air Malta
AMF,Ameriflight
AML,Air Malawi
AMP,ATSA
AMU,Air Macau
AMV,AMC Airlines
AMX,Aeromexico
AMZ,Amiyi Airlines
ANA,ANA
ANE,Air Nostrum
ANG,Air Niugini
ANO,Airnorth
ANR,YanAir
ANS,Andes Lineas Aereas
ANT,Air North
ANZ,Air New Zealand
AOS,Aeros Flight Training
AOT,Asia Overnight Express
APC,Airpac Airlines
APF,Amapola
APG,Philippines AirAsia
APJ,Peach Aviation
ARA,Arik Air
ARE,LAN Colombia
ARG,Aerolineas Argentinas
ARR,Air Armenia
ART,SmartLynx Airlines
ARU,Aruba Airlines
ASA,Alaska Airlines
ASD,Air Sinai
ASH,Mesa Airlines
ASJ,Exact Air
ASQ,ExpressJet
ATC,Air Tanzania
ATM,Par Avion Airlines
ATN,ATI
ATV,Avanti Air
AUA,Austrian
AUB,Augsburg Airways
AUI,UIA
AUK,Auric Air
AUL,Nordavia Regional Airlines
AUR,Aurigny Air Services
AUT,Austral
AVA,AVIANCA
AVJ,Avia Traffic Company
AVN,Air Vanuatu
AWC,Titan Airways
AWE,US Airways
AWI,Air Wisconsin
AWK,Airwork NZ 
AWM,Asian Wings Airways
AWQ,Indonesia AirAsia
AWS,Arab Wings
AWU,Sylt Air
AXB,Air India Express
AXE,Air Explore
AXK,African Express Airways
AXL,Anguilla Air Services
AXM,AirAsia
AYD,AB Aviation
AYE,Yunnan Ying An Airlines
AYG,Yangon Airways
AYL,Alpine Air
AZA,Alitalia
AZI,Astra Airlines
AZN,Amaszonas
AZQ,Silk Way Airlines
AZS,Aviacon Zitotrans
AZU,Azul
AZW,Air Zimbabwe
BAJ,Baker Aviation
BAL,Belle Air Europe
BAW,British Airways
BBC,Biman Bangladesh Airlines
BBD,Bluebird Cargo
BBG,Blue Bird Airways
BBR,SBA Airlines
BBT,Bashkortavia
BCC,Business Air
BCI,Blue Islands
BCS,EAT Leipzig
BCY,Cityjet
BDA,Blue Dart Aviation
BDI,BenAir
BDR,Badr Airlines
BEE,Flybe
BEK,Bek Air
BEL,Brussels Airlines
BER,Air Berlin
BEZ,Kingfisher Air Service
BFL,Buffalo Airways
BGA,Airbus Transport International
